Codigo;Autor;Editorial;Titulo;Año;
L-5555;CARDENAS, Marina;MINISTERIO DE SALUD Y PREVISION SOCIALHARVARD UNIVERSITYPARTNERSHIPS FOR HEALTH REFORM;Cuentas nacionales de financiamiento y gasto en salud ;2001;
L-5556;;FUNDACION PARA EL DESARROLLO TECNOLOGICO AGROPECUARIO DE LOS VALLES;Manual de cultivo. Orégano. Bolivia;2007;
L-5557;;FUNDACION PARA EL DESARROLLO TECNOLOGICO AGROPECUARIO DE LOS VALLES;Manual de cultivo. Ají. Bolivia;2007;
L-5558;;FUNDACION PARA EL DESARROLLO TECNOLOGICO AGROPECUARIO DE LOS VALLES;Manual de cultivo. Durazno. Bolivia;2007;
L-5559;;UMSSFCyT;Instituto de investigación. Planes operativos de investigación e interacción;2008;
L-555;GADE, Nils;CENTRO INTERDISCIPLIANARIO DE ESTUDIOS SOBRE EL DESARROLLO LATINOAMERICANO;Impactos de la política económica sobre las condiciones de la competencia en el Brasil y la Argentina;1990;
L-5560;ANDER - EGG, Ezequiel;;Métodos y técnicas de investigación social I. Acerca del conocimiento y del pensar científico;2001;
L-5561;ANDER - EGG, Ezequiel;;Métodos y técnicas de investigación social II. La ciencia: su método y la expresión del conocimiento científico;2003;
L-5562;ANDER - EGG, Ezequiel;;Métodos y técnicas de investigación social III. Como organizar el trabajo de investigación;2000;
L-5563;ANDER - EGG, Ezequiel;;Métodos y técnicas de investigación social VI. Técnicas para la recogida de datos e información;2003;
L-5564;MALETA, Héctor;;Epistemología aplicada: Metodología y técnica de la producción científica;2008;
L-5565;MARRADI, AlbertoARCHENTI, NélidaPIOVANI, Juan Ignacio;;Metodología de las ciencias sociales;2007;
L-5566;;UMSSDICyT;Potencial científico y tecnológico de la Universidad Mayor de San Simón. Indicadores de I + D;2006;
L-5567;QUEREJAZU LEWIS, Roy;;Trayectoria histórica y cultural de los trinitarios;2008;
L-5568;AMIN, Samir;;Miradas a un medio siglo. Itinerario intelectual 1945 - 1990;1999;
L-5569;PERDICES DE BLAS, Luís;;Historia del Pensamiento Económico. Economía: Serie historia económica ;2004;
L-556;ESTRADA, Francisco F.MASI, María Laura;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE EL DESARROLLO LATINOAMERICANO;Empresariado latinoamericano algunos aspectos de sus organizaciones y de su pensamiento;1983;
L-5570;CHATTERJEE, Partha;CLACSO;<La> nación en tiempo heterogéneo y otros estudios subalternos;2008;
L-5571;TAPIA P., Nelson (editor);;Aprendiendo el desarrollo endógeno sostenible. Construyendo la diversidad bio-cultural;2008;
L-5572;LANDES, David S.;;<La> riqueza y la pobreza de las naciones;2003;
L-5573;OVANDO O., Jaime;;Sociedades comerciales. Doctrina y legislación nacional;2008;
L-5574;TONG, Jesús;;Finanzas empresariales: la decisión de inversión;2007;
L-5575;MURILLO, Susana;CLACSO;Colonizar el dolor. La interpelación ideológica del Banco Mundial en América Latina. El caso argentino desde Blumberg a Cromañon;2008;
L-5576;MARTINEZ FRANZONI, Juliana;CLACSO;¿Arañando bienestar?. Trabajo remunerado, protección social y familias en América Central;2008;
L-5577;LECHINI, Gladis (compiladora);CLACSO;<Los> estudios afroamericanos y africanos en América Latina. Herencia, presencia y visiones del otro;2008;
L-5578;MODAK, Frida (coord.);CLACSOFLACSO;Salvador Allende. Pensamiento y acción;2008;
L-5579;SVAMPA, Maristella;CLACSO;Cambio de época movimientos sociales y poder político;2008;
L-557;;FONDO INTERNACIONAL DE DESARROLLO AGRICOLA;Informe Anual 1994;1995;
L-5580;CHERESKY, Isidoro;CLACSO;Poder presidencial, opinion pública y exclusión social;2008;
L-5581;PORTOCARRERO VALDA, Gustavo;;<El> hombre: animal en peligro de extinción;2008;
L-5582;NARAYAN, DeepaPETESCH, Patti;;<La> voz de los pobres. Desde muchas tierras;2002;
L-5583;CORDOVA, EduardoMAYORGA, Fernando;UMSSPLURAL;<El> movimiento antiglobalización en Bolivia. Procesos globales e iniciativas locales en tiempo de crisis y cambio;2008;
L-5584;ZAVALETA MERCADO, René;;<Lo> nacional - popular en Bolivia;2008;
L-5585;MORALES PEÑA, Carlos;;Entrevista con la globalización. América latina en la encrucijada de la mundialización a comienzos del siglo XXI;2008;
L-5586;PETRAS, JamesVELTMEYER, Henry;;Un sistema en crisis. La dinámica del capitalismo de libre mercado;2003;
L-5587;PETRAS, JamesNEFFA, Julio César (director)ALBANO, JulietaLOPEZ GHIO, RamiroPEREZ, PabloSALAS, Julieta;;Teorías económicas sobre el mercado de trabajo. II neoclasicos y nuevos keynesianos;2007;
L-5588;MESZAROS, Istvan;CLACSO;<El> desafío y la carga del tiempo histórico. El socialismo en el siglo XXI;2007;
L-5589;STIGLITZ, Joseph E.;;<Los> felices 90. La semilla de la destrucción. La década más próspera de la historia como causa de la crisis económica actual;2003;
L-558;;FONDO INTERNACIONAL DE DESARROLLO AGRICOLA;Informe anual 1995;1996;
L-5590;BERNANKE, Ben S.FRANK, Robert H.;;Principios de economía;2007;
L-5591;RIVERA MICHEL, Henry;;Contabilidad intermedia. Ejercicios propuestos y resueltos. Incluye CD;2008;
L-5592;RIVERA MICHEL, Henry;;Introducción a la contabilidad de gestión. Incluye costeo ABC. 122 ejercicios resueltos, 210 ejercicios propuestos. (Incluye CD);2008;
L-5593;SALAZAR ORTUÑO, FernandoARANCIBIA COLQUE, SilvanoCUTIPA SALVA, LuísOLIVERA VORJA, Delfín;UDESTROUMSS;<El> costo humano de las políticas de erradicación de cultivos de coca en el trópico de Cochabamba - Bolivia 1980 - 2004. Kawsachun coca tomo I;2008;
L-5594;SALAZAR ORTUÑO, FernandoARANCIBIA COLQUE, SilvanoCUTIPA SALVA, LuísOLIVERA VORJA, Delfín;UDESTROUMSSIESE;<El> costo humano de las políticas de erradicación de cultivos de coca en el trópico de Cochabamba - Bolivia 1980 - 2004. Testimonio fotográfico. Kawsachun coca tomo II;2008;
L-5595;;INE;Bolivia. Encuesta nacional de demográfia y salud 2003. Incluye CD;2004;
L-5596;;Universidad Nacional de Villa María;Espacios en la UNVM. ECIP un espacio creado para que vos lo integres;2005;
L-5597;DIEZ DE MEDINA FERNANDEZ DE CORDOVA, Gabriel Gonzalo;;<La> floricultura en Bolivia;2007;
L-5598;DIAZ QUEVEDO, Carlos MarceloROJAS VACA, Héctor Luis;;<La> informalidad en Bolivia: ¿una válvula de escape o un freno para la economía?;2005;
L-5599;PARKIN, Michael ;;Macroeconomía. Edición en español actualizada;1998;
L-559;DORADO A., Hugo;CEDLA;Modelo de mediano y largo plazo del Banco Mundial. Proyección para la economía boliviana;1992;
L-55;;KUHNE, Karl;Economía y marxismo - 1;1977;
L-5600;ANTEQUERA DURAN, NelsonCEDIB;;Territorios urbanos. Diversidad cultural, dinámica socioeconómica y procesos de crecimiento urbano en la zona sur de Cochabamba;2007;
L-5601;MAYORGA UGARTE, J. Antonio;UMSSDICyTASDI/SAREC;Gonismo discurso y poder;2007;
L-5602;SMITH, Adam;;La riqueza de las naciones;2008;
L-5603;IBARRA, David;;<El> desmantelamiento de Pemex;2008;
L-5604;VELASQUEZ MALLEA, Julio;;Otros martillazos;1999;
L-5605;ANAYA ARZE, Franklin;UMSS;<La> revolución del reloj y el vidrio. Emblema de la UMSS. El hombre y su morada;1994;
L-5606;;PROYECTOS CULTIVOS ANDINOSGEFFUCEMAFUNDANDESUNDP;<La> quebrada en cifras. Estudio cuantitativo marco del perfil económico - productivo de la Quebrada de Humahuaca. ;2007;
L-5607;;PROYECTOS CULTIVOS ANDINOSGEFFUCEMAFUNDANDESUNDP;Economía andina. Revisión teórica para la Quebrada de Humahuaca. ;2007;
L-5608;;PROYECTOS CULTIVOS ANDINOSGEFFUCEMAFUNDANDESUNDP;Mercados de productos orgánicos. Breve panorama en Argentina y el mundo. ;2007;
L-5609;;PROYECTOS CULTIVOS ANDINOSGEFFUCEMAFUNDANDESUNDP;Breve historia económica de la Quebrada de Humahuaca. (Jujuy, Argentina). Desde el periodo prehistórico hasta el siglo XX. ;2007;
L-560;;CORPORACION INTERAMERICANA DE INVERSIONES;Informe anual 1991;1992;
L-5610;;PROYECTOS CULTIVOS ANDINOSGEFFUCEMAFUNDANDESUNDP;Economía de los cultivos andinos en la Quebrada de Humahuaca. Un mapa de incentivos para abordar la cuestión. ;2007;
L-5611;;CEDIB;Ser indígena en la ciudad. Concurso nacional de pintura y fotografía;2008;
L-5612;;s.a.;Premios nobel de economía;2008;
L-5613;SERRA SALVADOR, VicenteVERCHER BELLVER, SalvadorZAMORANO BENLLOCH, Vicente;;Sistemas de control de gestión: Metodología para su diseño e implantación .Con aplicación informática para PC. Incluye CD;2005;
L-5614;HERRERO PALOMO, Julián;;Administración, gestión y comercialización en la pequeña empresa;2005;
L-5615;BACA URBINA, Gabriel;;Fundamentos de ingeniería económica;2007;
L-5616;;CEPAL;Balance preliminar de las economías de América Latina y el Caribe: 2007;2007;
L-5617;;CEPAL;Panorama de la inserción internacional de América Latina y el Caribe. Tendencias 2008 (Incluye CD);2008;
L-5618;;CEPAL;Estudio económico de América Latina y el Caribe 2007 - 2008 (incluye CD). Política macroeconómica y volatilidad;2008;
L-5619;;IMPUESTOS NACIONALES;Memoria institucional 2007. Con tu aporte construimos un nuevo país;2008;
L-561;BLONDET, CeciliaYON, Carmen;INSTITUTO DE ESTUDIOS PERUANOS;Documento de trabajo. Democracia, paz y desarrollo en el ámbito local urbano;1993;
L-5620;ZARUR RAMOS, Alberto Luís;;<El> entorno económico: elementos teóricos y metodológicos para su análisis ;2004;
L-5621;LOPEZ MAYA, MargaritaIÑIGO CARRERA, NicolásCALVEIRO, Pilar (editores);CLACSO;Luchas contrahegemónicas y cambios políticos recientes de América Latina;2008;
L-5622;NOVIC, Susana (comp.);CLACSO;<Las> migraciones en América Latina. Políticas, culturas y estrategias;2008;
L-5623;LECHINI, Gladys (editor);CLACSO;Globalizatión and the Washington consensus. Its influence on democracy and development in the South;2008;
L-5624;DIAZ, Alvaro;CEPALNACIONES UNIDAS;América Latina y el Caribe: La propiedad intelectual despues de los tratados de libre comercio;2008;
L-5625;RODRIGUEZ HERRERA, AdolfoALVARADO UGARTE, Hernán;CEPALNACIONES UNIDAS;Claves de la innovación social en América Latina y el Caribe;2008;
L-5626;MARTINEZ PIZARRO, Jorge;CEPALNACIONES UNIDASCELADE;América Latina y el Caribe: migración internacional, derechos humanos y desarrollo;2008;
L-5627;;BANCO MUNDIALMUNDI-PRENSA;Informe sobre el desarrollo mundial 2009. Una nueva geografía económica;2008;
L-5628;;CEDLA;Reforma de pensiones. Ni solidaria ni sostenible;2008;
L-5629;;CEPAD;San Ignacio de Velasco: una química para trabajar;2008;
L-562;STARN, Orin;INSTITUTO DE ESTUDIOS PERUANOS;Documento de trabajo. Hablan los ronderos la búsqueda por la paz en los Andes;1993;
L-5630;DELGADO BURGOA, FreddyESCOBAR VASQUEZ, Cesar;UMSSCDEAGRUCO;Innovación tecnológica, soberanía y seguridad alimentaria;2009;
L-5631;DE LA TORRE AVILA, LeonardoALFARO ARAMAYO, Yolanda;UMSSCESUDISyTFUNDACION PIEB;<La> cheqanchada. Caminos y sendas de desarrollo en los municipios migrantes de Arbieto y Toco;2007;
L-5632;FERRUFINO QUIROGA, CeliaFERRUFINO QUIROGA, MagdaPEREIRA BUSTOS, Carlos;UMSSCESUDISyTFUNDACION PIEB;<Los> costos humanos de la emigración;2007;
L-5633;ACHI CHRITELE, AmonahDELGADO, Marcelo;UMSSCESUDISyTFUNDACION PIEB;<A> la conquista de un lote. Estrategias populares de acceso a la tierra urbana;2007;
L-5634;SUAREZ CORONEL, ElsaSANCHEZ ANDRADE, Ridher;UMSSCESUDISyTFUNDACION PIEB;Mujeres en el municipio. Participación política de concejalas en Cochabamba;2007;
L-5635;GORDILLO, José MiguelRIVERA PIZARRO, AlbertoEVI SULCATA, Ana;UMSSCESUDISyTFUNDACION PIEB;¿ Pitaq kaypi kamchiq ?. Las lecturas de poder en Cochabamba, 1940 - 2006;2007;
L-5636;MONTAÑO A., Osvaldo;ASDI/SARECDISyT;Arquitectura paisajistica;2008;
L-5637;CORNEJO PARRA, Jaime;;"Análisis y aplicación contable de las normas de contabilidad 3 y 6. Norma de contabilidad Nº 3 ""estados financieros a moneda constante"". (Ajuste por inflación). Norma de contabilidad Nº 6 ""Tratamiento contable de las diferencias de cambio y mantenimiento de valor""";2008;
L-5638;SANJINES MONTAN, RemmyMOSCOSO FORONDA, David;;Decisiones administrativas;2008;
L-563;PETRERA, MargaritaREMENYI, María AntoniaPARODI, Fernando;INSTITUTO DE ESTUDIOS PERUANOS;Documento de trabajo. La gestión estatal y la privatización en el sector salud, la seguridad social y el sector financiero;1993;
L-564;PINZAS GARCIA, Teobaldo;INSTITUTO DE ESTUDIOS PERUANOS;Documento de trabajo. Privatización y nuevo rol del Estado;1993;
L-565;QUIJANDRIA, Jaime;INSTITUTO DE ESTUDIOS PERUANOS;Documentos de trabajo. El futuro de la empresa del Estado el caso del sector petrolero;1993;
L-566;ROMERO, LucíaCOLLAZOS, Paul;INSTITUTO DE ESTUDIOS PERUANOS;Documento de trabajo - Restricción externa decisión de portafolio? Perú 1980-1990;1994;
L-5670;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5671;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5672;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5673;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5674;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5675;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5676;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1979;
L-5677;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1976;
L-5678;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1976;
L-5679;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1974;
L-567;GONZALES DE OLARTE, Efraín;INSTITUTO DE ESTUDIOS PERUANOS;Documento de trabajo. Ajuste estructural y reforma de la economía fiscal en el Perú;1994;
L-5680;SILLS, David L.;;Enciclopedia internacional de las ciencias sociales;1974;
L-568;RAMOS, Joseph;ILADES GEORGETOWN UNIVERSITY;Docente. Los valores en las categorías básicas actividad, teoría, política e ideología económica;1989;
L-569;AHUMADA, Hildegart A.;ILADES;Docente. Notas introductorias a la econometría dinámica;1991;
L-56;KUHNE, Karl;;Economía y marxismo-2;1977;
L-570;;HEGOA;Dossier. Refugio y conflicto en el mundo;1995;
L-571;DE LA PIEDRA, Enrique;BANCO MUNDIAL;Como recuperar el progreso social en América Latina;1989;
L-572;TORRES DUJISIN, Isabel;CLACSO, CEDES;Documento de trabajo. La reorganización de los partidos de derecha en Chile, 1983-1987;1988;
L-573;DE RIZ, Liliana;CLACSO, CEDES;Documento de trabajo. Partidos políticos y perspectivas de consolidación de la democracia Argentina, Brasil y Uruguay;s.f.;
L-574;MURILLO CASTAÑO, GabrielDE BRIGARD, María Cristina;CLACSO, CEDES;Documento de trabajo. Las transformaciones recientes del sistema de partidos polítics en Colombia una real encrucijada;1988;
L-575;;CERES;Documento de presentación institucional;1979;
L-576;;IBTA, PROINPA;Informe anual compendio 1992-1993;1993;
L-577;PALOMINO BULEJE, Luis;UNIVERSIDAD DE LIMA-FACULTAD DE ECONOMIA;Claves históricas del milagro japonés;1992;
L-578;ASPIAZU PERA, Juan;UNIVERSIDAD DE LIMA-FACULTAD DE ECONOMIA;Análisis de las investigaciones sobre la fibra de alpaca;1991;
L-579;RODRIGUEZ G., Jorge;ILDES;Ensayo. La economía una herramienta al servicio de todos;1988;
L-57;KHUNE, Karl;;Economía y marxismo - 3;1979;
L-5809;;UMSSRECTORADOVICERECTORADO;Universidad en cifras 2006;2006;
L-580;;MINISTERIO DE AGRICULTURA PESCA Y ALIMENTACION;Agricultura, la pesca y la alimentación españoles en 1987;1987;
L-5810;;UMSSRECTORADOVICERECTORADO;Universidad en cifras 2007;2007;
L-581;;MINISTERIO DE AGRICULTURA PESCA Y ALIMENTACION;Agricultura, la pesca, y la alimentación españolas en 1989;1989;
L-5825;;OFICINA DEL DELEGADO PRESIDENCIAL PARA LA REVISION Y MEJORA DE LA CAPITALIZACION;<Las> capitalizadas en cifras: Estados financieros ;2003;
L-5826;;OFICINA DEL DELEGADO PRESIDENCIAL PARA LA REVISION Y MEJORA DE LA CAPITALIZACION;<Las> capitalizadas en cifras: Sector hidrocarburos. Informe. Datos comparativos ;2003;
L-5827;;OFICINA DEL DELEGADO PRESIDENCIAL PARA LA REVISION Y MEJORA DE LA CAPITALIZACION;<Las> capitalizadas en cifras: Cuanto costo la capitalización? (Un enfoque contable) ;2004;
L-582;;MINISTERIO DE AGRICULTURA PESCA Y ALIMENTACION;Agricultura, la pesca y la alimentación españolas en 1991;1991;
L-583;;MINISTERIO DE AGRICULTURA PESCA Y ALIMENTACION;Agricultura, la pesca y la alimentación españolas en 1993;1994;
L-5841;;UMSSRECTORADOVICERECTORADO;Universidad en cifras 2008;2008;
L-5842;MOLINA, Fernando;;Dictamen sobre el proyecto de Constitución de Bolivia;2009;
L-5843;;UNIVERSIDAD AUTONOMA METROPOLITANA IZTAPALAPA;Organización, conocimiento y gestión. El vínculo entre la diversidad;2009;
L-5844;BARRIOS SUVELZA, Franz Xavier;;Hacia un pacto territorial en Bolivia. Conflictos, conceptos, consensos en torno a las autonomías. Resumen;2008;
L-5845;BARRIOS SUVELZA, Franz Xavier;PNUD;Hacia un pacto territorial en Bolivia. Conflictos, conceptos, consensos en torno a las autonomías;2008;
L-5846;FERNANDEZ TERAN, Roberto;IBPCESUPLURAL;Gas, petróleo e imperialismo en Bolivia;2009;
L-5848;APONTE, GuillermoFERRUFINO, RubénJEMIO, Luis CarlosURIOSTE, Juan Cristóbal;FUNDACION MILENIO;Pensiones y jubilación en Bolivia;2008;
L-5849;RIVERO ADRIAZOLA, Raúl;FUNDACION MILENIO;<La> renta del gas como base del microcrédito. Análisis prospectivo del impacto de la distribución directa de la renta petrolera en el mercado financiero;2009;
L-584;;OEA;Informe de la Comisión Interamericana de Derechos Humanos 1993;1994;
L-5851;;FUNDACION MILENIO;<La> crisis económica internacional y la economía boliviana;2008;
L-5852;LOPEZ, Carlos Alberto;FUNDACION MILENIO;Hidrocarburos: ¿hasta aquí llegamos? ;2008;
L-5853;HUFTY, MarcAUROI, ClaudeDE LA FUENTE, Manuel (comps.);PLURALNCCR NORTH SOUTH;Gobernancia, gobernabilidad y democratización. ¿A donde va Bolivia?;2005;
L-5854;;PNUDIDFA;<La> construcción plural del nuevo campo político. Configuraciones políticas en los departamentos de Bolivia;2008;
L-5855;;ECODINAMICA CONSULTING GROUP S.R.L.;Encuesta y elaboración de indicadores de ciencia y tecnología, innovación y productividad de la industria manufacturera en Bolivia (2005 - 2007);2009;
L-5856;;UPC;Unidad de productividad y competitividad;2008;
L-5857;;UMSS;Guía del estudiante;2009;
L-5858;MOLINA, Carlos Hugo (coord.)PEÑA CLAROS, ClaudiaVACA, Claudia;;<El> movimiento civico frente al proceso de descentralización y autonomía (1994 - 2006);2008;
L-5859;;PROGRAMA DE INNOVACION EN LA GESTION PUBLICAUNIDAD DE PRODUCTIVIDAD Y COMPETITIVIDAD;Guía metodológica para la simplificación de procedimientos municipales;2008;
L-585;;;Compilación sobre el arancel de importaciones de Bolivia;1901;
L-5860;ALBARRACIN MILAN, Juan;;<El> superestado minero y el derrumbe de la oligarquía boliviana;2008;
L-5861;;EMPRESA MISICUNI;Informe de gestión 2008. Por el agua nos uniremos;2009;
L-5863;;FUNDACION PARA EL DESARROLLO TECNOLOGICO AGROPECUARIO DE LOS VALLES;Manual de cultivo. Maní orgánico. Bolivia;2009;
L-5864;;CEDIB;Movimientos sociales urbanos en América Latina y Bolivia. Memoria del encuentro realizado en la ciudad de La Paz, Bolivia 7 y 8 de diciembre de 2007;2007;
L-5865;DANGL, Benjamin;;<El> precio del fuego. Las luchas por los recursos naturales y los movimientos sociales en Bolivia;2009;
L-5866;GUTIERREZ ANDRADE, Osvaldo Walter;;Tópicos de ciencias económicas (1987 - 2008). (Hacia la desliteraturización de la economía y la administración);2008;
L-5866;RODRIGUEZ OSTRIA, Gustavo;;Tierra y sociedad rural en Cochabamba (1781 - 1952);2008;
L-5867;;SUPERINTENDENCIA DE BANCOS Y ENTIDADES FINANCIERASPROFIN;Guía para la gestión integral de riesgos ;2008;
L-5868;;SUPERINTENDENCIA DE BANCOS Y ENTIDADES FINANCIERASPROFIN;Guía para la gestión de riesgos de mercado. Tasa de interés y tipo de cambio ;2008;
L-5869;;SUPERINTENDENCIA DE BANCOS Y ENTIDADES FINANCIERASPROFIN;Guía para la gestión del riesgo de liquidez ;2008;
L-586;DEUTSCH, Karl W.;;Problemas para el modelo del mundo;1984;
L-5870;;SUPERINTENDENCIA DE BANCOS Y ENTIDADES FINANCIERASPROFIN;Guía para la gestión del riesgo operativo;2008;
L-5871;CASTRO E., SoniaSALINAS V., Jimena;INSTITUTO DE INVESTIGACIONES DE LA FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACION;Identidades y juventud. Avance de investigación sobre identidades juveniles ;2009;
L-5872;MOYA, LuísDELGADILLO, Claudia;INSTITUTO DE INVESTIGACIONES DE LA FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACION;Versiones sobre la juventud. Avances de investigación sobre identidades juveniles ;2009;
L-5873;DELGADO, AdalinioGOMEZ, Lucía P.;INSTITUTO DE INVESTIGACIONES DE LA FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACION;Políticas sociales perspectivas teóricas y contextuales. Estado del arte sobre la temática de políticas sociales para la juventud ;2009;
L-5875;;SUPERINTENDENCIA DE BANCOS Y ENTIDADES FINANCIERAS;Estafas piramidales casos en Bolivia y el mundo;2008;
L-5876;;USAID;Memoria 2008;2009;
L-5876;;MINISTERIO DE HACIENDA;Presupuesto. Recursos 2002;2002;
L-5877;SUAREZ SALAZAR, LuísGARCIA LORENZO, Tania;CLACSO;<Las> relaciones interamericanas continuidades y cambios;2008;
L-5878;MESZAROS, István;CLACSO;<La> educación mas allá del capital;2008;
L-5879;;MINISTERIO DE HACIENDA;Ejecución del presupuesto por nivel de asignación. Gestión 2002 segunda parte;2002;
L-587;;PROSEMPA;Instituciones paperas;1992;
L-5880;OTOROLA URQUIZU, Carlos;;Economía fiscal;2009;
L-5881;VILLAVICENCIO J., Saíd (coordinador)MENESES B., OscarCARRASCO J., RonaldVILLARROEL M., IsabelPEREZ A., Abraham;;<La> investigación científica y sus desafíos (educar, comunicar ... conocer ... transformar);2009;
L-5882;AZQUETA, Diego (autor)ALVIAR, MauricioDOMINGUEZ, LiliaRYAN, Raúl (coautores);;Introducción a la economía ambiental;2007;
L-5883;;BANCO MUNDIAL;Desarrollo saludable. Estrategia del banco mundial para lograr resultados en materia de salud, nutrición y población;2009;
L-5884;GREBE LOPEZ, HorstMAYORGA, FernandoAGUIRRE BASTOS, FernandoBARRIOS SUVELZA, Franz;;Contrapuntos al debate constituyente;2007;
L-5885;;MINISTERIO DE HACIENDA;Presupuesto. Recursos 2003;2003;
L-5886;DELGADO BURGOA, FreddyESCOBAR VASQUEZ, Cesar;UMSSCDEAGRUCO;Innovación tecnología, soberanía y seguridad alimentaria;2009;
L-5887;CARRILLO FLOREZ, Fernando (ed.);;<La> lucha contra la exclusión social en América Latina. Una mirada desde europa;2009;
L-5888;ZABALA ARGUELLES, María del Carmen (comp.);CLACSO;Pobreza, exclusión social y discriminación etnico - racial en América Latina y el Caribe;2008;
L-5889;SANCHEZ SERRANO, Rolando;;Capital social y posibilidades de desarrollo en los municipios. Las condiciones socioculturales y el desempeño económico y politico;2007;
L-588;;;Lineamientos económicos y sociales para el quinquenio (1986-1990);1986;
L-5890;SCHWALD, María MatildeMAICA, Oscar;;Responsabilidad social: fundamentos para la competitividad empresarial y el desarrollo sostenible;2008;
L-5891;HOFFMANN, SabineROZO, BernardoTAPIA, LuísVIAÑA, Jorge;;<La> reconstrucción de lo público. Movimiento social, ciudadanía y gestión de agua en Cochabamba;2006;
L-5892;FITOUSSI, Jean - PaulROSANVALLON, Pierre;;<La> nueva era de las desigualdades;2003;
L-5893;VILLA, Marco Antonio JacoboSABORIO FERNANDEZ, Elsa (coordinadores);;<La>gestión del agua en México: los retos para el desarrollo sustentable;2004;
L-5894;SAVALL, HenriZARDET, Veronique;;Ingeniería estratégica. Un enfoque socioeconómico;2009;
L-5895;BUSTELO, Pablo;;Teorías contemporáneas del desarrollo económico;1999;
L-5896;LEVY, BettinaGIANATELLI, Natalia (comps.);CLACSO;<La> politica en movimiento. Identidades y experiencias de organización en América Latina;2008;
L-5897;CIMADAMORE, Alberto D.CATTANI, Antonio David (coordinadores);CLACSO;Producción de pobreza y desigualdad en América Latina;2008;
L-5898;SADER, EmirCASTOR, SuzyCHAUI, Mariela;MONDE DIPLOMATIQUECLACSO;Pensamiento crítico latinoamericano. Cuadernos CLACSO (VII - XI);2008;
L-5899;SADER, Emir;CLACSO;Posneoliberalismo en América Latina;2008;
L-589;SARAVIA VALLE, Jorge;;Planificación de aldeas rurales;1986;
L-58;CHAU, Le;;Investigación básica socioeconómica una metodología dialéctica;1976;
L-5900;TUNNERMANN BERNHEIM, Carlos;CLACSO;Noventa años de la reforma universitaria de Córdoba (1918 - 2008);2008;
L-5901;TUNNERMANN BERNHEIM, Carlos;CLACSO;Noventa años de la reforma universitaria. Desafíos y perspectivas noventa años después;2008;
L-5902;ZALPA, GenaroEGIL OFFERDAL Hans;CLACSO;<¿El> reino de Dios es de este mundo?. El papel ambiguo de las religiones en la lucha contra la pobreza;2008;
L-5903;ZICCARDI, Alicia (comp.);CLACSO;Procesos de urbanización de la pobreza y nuevas formas de exclusion social;2008;
L-5904;;CEPAL;Anuario estadístico de América Latina y el Caribe 2008. Statistical yearbook for latin America and the caribbean. Incluye CD;2009;
L-5905;;CEPAL;Balance preliminar de las economías de América Latina y el Caribe: 2008;2008;
L-5906;;MINISTERIO DE HACIENDA;Ejecución del presupuesto por nivel de asignación. Gestión 2003 segunda parte;2003;
L-5907;;FUNDA - PRO;Taller de análisis de microfinanzas ;2001;
L-5908;;FUNDA - PRO;Taller de análisis de microfinanzas;2001;
L-5909;CRIVISQUI, EduardoBALBI, SimonaSCEPI, GermanaTORRES, Horacio;;Methodologica. Revista de análisis de técnicas métodos e instrumentos de investigación en Ciencias Humanas;1994;
L-590;;BID;Proceso de integración en América Latina en 1990;1991;
L-5914;FERNANDES, Florestan;CLACSO;Dominación y desigualdad: el dilema social latinoamericano;2008;
L-5915;GARCIA LINERA, Alvaro;CLACSO;<La> potencia plebeya. Acción colectiva e identidades indígenas, obreras y populares en Bolivia;2008;
L-5916;MAURINI, Ruy Mauro;CLACSO;América Latina, dependencia y globalización;2009;
L-5917;FALETTO, Enzo;CLACSO;Dimensiones sociales, políticas y culturales del desarrollo;2009;
L-5918;MIRO, Carmen A.;CLACSO;América Latina, población y desarrollo;2009;
L-5919;ZAVALETA, René;CLACSO;<La> autodeterminación de las masas;2009;
L-591;;CENTRO DE ESTUDIOS PARA EL DESARROLLO DEPARTAMENTAL-CHUQUISACA;Fondo de créditos para servicios estudiantiles;1989;
L-5920;DE SOUSA SANTOS, Boaventura;;Pensar el Estado y la sociedad: desafíos actuales;2009;
L-5921;TAPIA, Luís;;<La> coyuntura de la autonomía relativa del Estado;2009;
L-5922;TAPIA, Luís;;Política salvaje;2009;
L-5923;GARCIA LINERA, AlvaroTAPIA, Luís;NEGRI, ToniHARDT, MichaelCOCCO, GiuseppeREVEL, Judith;Imperio multitud y sociedad abigarrada. Incluye CD;2009;
